Product Name,Price,Rating
"THRIFTKART - 3 in 1 Fast Charging Cable,Portable 120W Charger Cord/Wire Compatible with iOS,Type-C,Micro Phones,Car/Travel 6A Retractable Zinc Alloy Charging Data Cable,Light Emitting Diode (Multicolor)",Rs.  178,width:82.0%
Five-O Tempered Glass Compatible For iPhone 13 Pro ( Pack of 1 ),Rs.  203,width:80.0%
Right Traders Bluetooth Tripod ( Black ),Rs.  187,width:82.0%
"25 Watt PD Fast Charger Supports Fast Charge with Type C to C Type Cable, Fast Charging Mobile Charger for Sam-sung & I-Phone Devices - Black",Rs.  398,width:76.0%
Icynics Tempered Glass Compatible For Realme Narzo N55 ( Pack of 1 ),Rs.  235,No Rating
24 pack - Speaker Dust Protector Net Stickers for Android Anti-dust mobile protector,Rs.  143,width:86.0%
Portronics Foldable Mobile Stand for Smartphones and Tablets ( Black ),Rs.  242,width:94.0%
RMT Bluetooth Selfie Stick ( Black ),Rs.  284,width:70.0%
Lapster Cleaning Brush 8 in 1 Cleaning Tools Deep Cleaning Mini Cleaning Pen Keyboard Cleaning Kit Computer Accessories,Rs.  183,width:76.0%
BIG WINGS Shock Proof Case Compatible For Polycarbonate Apple iPhone 13 ( Pack of 1 ),Rs.  308,No Rating
"Hybite Premium Selfie Stick, Blue tooth Extendable Selfie Stick Tri pod with Led Light Wireless Remote and Portable Tri pod Stand Compatible for All iPhone and Android Smartphone",Rs.  265,width:80.0%
"Super-Fast 67W Type-C Charger with USB-C to USB-C Cable | Universal PD Adapter for Mobile Phones, Tablets, and Laptops | Travel-Friendly & Efficient Charging",Rs.  376,width:80.0%
PD 20W Power Delivery Original Fast Charger with USB-C to Lightning Cable for iPhone 14/14Plus/14Pro/14Pro max 13/13Pro/13Pro max 12/12Pro/12/11/X/Xr Series,Rs.  513,width:74.0%
Case Need Plain Cases Compatible For Magnetic Cover Case iPhone 17 Pro ( Pack of 1 ),Rs.  156,No Rating
Imported 6 A Charging + Data Transfer Type C - Lightning Cable 1 Meter for iPhone  8 to 14 all variants,Rs.  203,width:82.0%
JMT Bluetooth Selfie Flash Light ( Black ),Rs.  311,width:80.0%
Icynics Tempered Glass Compatible For Realme 12 Plus 5G ( Pack of 1 ),Rs.  235,width:90.0%
"100W USB-C Power Delivery Charger | Fast Charging Block for Laptops, Phones & Tablets | Smart Safe Compact Adapter",Rs.  403,No Rating
"High-Speed 65W PD 27W Max Fast Charging USB to Lightning Cable â€“ 1.2 Meter Braided Nylon iPhones Charging Cable with Metal Connectors, Fast Data Sync & Quick Charge Support for iOS Devices",Rs.  211,width:90.0%
"Portronics Clamp M3 Adjustable Car Mobile Phone Holder Stand for Dashboard & Windshield, (Black)",Rs.  281,width:86.0%
